Cp A 2 ms;Cp P 2 ms;Cr A 2 ms;Cr P 2 ms;Cp A 4 ms;Cp P 4 ms;Cr A 4 ms;Cr P 4 ms;Cp A 10 ms;Cp P 10 ms;Cr A 10 ms;Cr P 10 ms;Cp A 20 ms;Cp P 20 ms;Cr A 20 ms;Cr P 20 ms;Cp A 80 ms;Cp P 80 ms;Cr A 80 ms;Cr P 80 ms
90.18817139;84.16159058;91.58514404;85.87335968;90.12155914;84.2022934;91.72781372;85.90393829;90.08553925;84.27256622;91.72079315;84.27256622;90.12185669;84.22884598;91.70491028;85.91285172;90.14262066;84.23014545;91.71658916;85.9053627
90.05315399;84.27022552;91.664505;86.10551453;90.10702133;84.19045639;91.75240326;85.93259048;90.09441223;84.22757263;91.77694244;84.22757263;90.13779984;84.21844788;91.70406418;85.9098671;90.13433132;84.22766037;91.72643261;85.91399479
90.18808746;84.26157379;91.64123535;85.88179779;90.10955811;84.19408035;91.74642181;85.88853836;90.08242645;84.23568268;91.7636322;84.23568268;90.11317291;84.2538475;91.70461121;85.91423416;90.12933826;84.22562847;91.71724033;85.90937729
90.03957367;84.26908112;91.7310791;85.90557098;90.13616562;84.20043945;91.7598114;85.92371368;90.12372742;84.21278381;91.7292038;84.21278381;90.12775574;84.22199707;91.69954758;85.91475754;90.12077045;84.23332577;91.7195837;85.92289162
90.18161011;84.22702026;91.59171295;85.96166992;90.10671616;84.25044632;91.76083374;85.91762924;90.08018951;84.25240784;91.7493454;84.25240784;90.11678772;84.24069824;91.69293518;85.92733231;90.15112705;84.21986027;91.70361614;85.90963497
90.00741577;84.26397705;91.73392487;85.95561218;90.1345787;84.20426559;91.73780823;85.91117477;90.12356262;84.24508667;91.70821075;84.24508667;90.11724243;84.24425507;91.7272583;85.90045319;90.15545177;84.22694759;91.7089529;85.92515087
90.14352417;84.27416229;91.63827515;85.93347931;90.09589005;84.23289871;91.71572495;85.89676666;90.07443085;84.25238647;91.73639984;84.25238647;90.10930939;84.23384781;91.72589874;85.91850357;90.15391541;84.22054577;91.69345303;85.91632538
90.04125214;84.25526428;91.67718506;85.94997406;90.10682678;84.24468613;91.69698715;85.94099808;90.10259552;84.26575012;91.72403107;84.26575012;90.13906403;84.21601563;91.69088364;85.92158051;90.13525066;84.22647858;91.70586224;85.91663914
90.16505432;84.30925751;91.6528244;85.91274261;90.09975815;84.2380867;91.7216835;85.91283798;90.081633;84.22209625;91.75579071;84.22209625;90.13466492;84.23518524;91.70164566;85.90788727;90.14758816;84.22883282;91.7001749;85.92555523
90.10955048;84.24782562;91.7181778;85.90863037;90.12611389;84.25489426;91.65962982;85.92268753;90.0901886;84.24559784;91.73556824;84.24559784;90.13082199;84.2226532;91.73017273;85.90097733;90.14611034;84.22779465;91.70476208;85.92458019
90.16736603;84.30434418;91.59830475;86.01280975;90.10827255;84.2220192;91.70734406;85.88837814;90.116008;84.21895752;91.73973694;84.21895752;90.11656036;84.23506851;91.72921677;85.91603241;90.14009571;84.23414421;91.70217705;85.92116108
90.08525848;84.20543671;91.72185516;85.90737915;90.06344604;84.26194;91.72437668;85.91788483;90.0918457;84.21079865;91.71799469;84.21079865;90.1175621;84.22184525;91.69785843;85.91399918;90.14047127;84.22650604;91.71405029;85.91870956
90.15876007;84.29862976;91.60066986;85.95429993;90.07327271;84.25483322;91.7605629;85.88298798;90.13435364;84.21824341;91.68512115;84.21824341;90.12279129;84.25411072;91.71259766;85.92854233;90.14310417;84.23792629;91.70270157;85.91784286
90.06787872;84.15151215;91.71916962;85.95252228;90.10141754;84.21767044;91.69312668;85.90908813;90.07526093;84.26151276;91.77228394;84.26151276;90.11145325;84.24683609;91.72423325;85.89203415;90.13929996;84.237393;91.71313095;85.92057381
90.13388824;84.30905914;91.6160202;85.97522736;90.10784531;84.21551132;91.70850754;85.91614914;90.13284607;84.22776031;91.70289764;84.22776031;90.13324203;84.22996902;91.72047348;85.91957321;90.13616085;84.23602028;91.69810791;85.91495495
90.12667847;84.12630463;91.7401123;85.89945984;90.11280441;84.21916962;91.69130325;85.92302322;90.1121582;84.23339233;91.71665497;84.23339233;90.1336937;84.20557404;91.69636993;85.93127365;90.13879261;84.23434963;91.71626816;85.91243839
90.09191132;84.35437012;91.68634796;85.95870209;90.13160324;84.23513794;91.76515198;85.87638474;90.08458405;84.28326721;91.73432617;84.28326721;90.13119583;84.24526825;91.71303101;85.90827866;90.129986;84.22804012;91.71623058;85.9171711
90.19470215;84.13002014;91.75927734;85.90657806;90.11590576;84.26005173;91.7158432;85.9476738;90.13522949;84.21552277;91.74133606;84.21552277;90.12539215;84.23292618;91.70186996;85.91433792;90.1420145;84.23105221;91.70464478;85.92233315
90.04555511;84.40644073;91.65315247;85.97799683;90.07984543;84.25808334;91.72556686;85.96775055;90.10836945;84.21377411;91.74282379;84.21377411;90.14073563;84.23253555;91.71350555;85.92063828;90.14148617;84.23163738;91.71618862;85.92538013
90.18698883;84.09384918;91.78582001;85.88454437;90.1365509;84.2802124;91.66961288;85.94147873;90.12941132;84.208461;91.73777466;84.208461;90.13227158;84.22214813;91.69634476;85.94653015;90.14088421;84.22639809;91.70928783;85.91773415
90.00098419;84.43521118;91.64471436;85.9712677;90.11985779;84.20479202;91.7092514;85.91776276;90.10995331;84.24117126;91.71530457;84.24117126;90.10811844;84.25301514;91.69490891;85.91004944;90.14440002;84.23250217;91.71811962;85.91290054
90.23621368;84.10607147;91.7431488;85.95954132;90.13266754;84.2078743;91.70622253;85.90530396;90.09737396;84.25204163;91.72657013;84.25204163;90.12715988;84.22649078;91.72051697;85.91130524;90.1417963;84.22711334;91.71534595;85.91989632
89.99865723;84.39399719;91.64373779;86.00653839;90.14479828;84.20198059;91.7232399;85.92294693;90.11002197;84.20236816;91.73079224;84.20236816;90.12768555;84.23226089;91.7278038;85.92810364;90.14370308;84.23026886;91.70593204;85.9197443
90.19959259;84.14442444;91.77680206;85.90486145;90.11706543;84.21849823;91.68620682;85.9033699;90.07565308;84.25765076;91.76381989;84.25765076;90.13445282;84.21247025;91.68635406;85.92165909;90.13775501;84.22849998;91.70932293;85.91552849
90.05144501;84.27584076;91.64718628;86.06009674;90.15126038;84.17708969;91.69711304;85.91262054;90.10925598;84.21463623;91.77328339;84.21463623;90.13558884;84.24400406;91.69560547;85.91582336;90.14970036;84.23198891;91.70749493;85.92923775
90.22613525;84.27495575;91.74178314;85.93784332;90.14387131;84.21393204;91.68277359;85.92177963;90.07428436;84.22865448;91.77601318;84.22865448;90.12222061;84.2328331;91.71926117;85.92110748;90.15123158;84.22522449;91.70235558;85.92702103
90.01380157;84.27902222;91.70996857;86.01901245;90.10832596;84.21023941;91.71932602;85.8984108;90.12341003;84.21283264;91.7303833;84.21283264;90.13805389;84.2114357;91.70910873;85.92236481;90.14094563;84.22733746;91.70780544;85.92690029
90.192276;84.20262909;91.73954773;85.8659668;90.14254761;84.23603439;91.70726013;85.93434143;90.11832581;84.22467804;91.7186203;84.22467804;90.12580948;84.23769608;91.70763626;85.9292778;90.1573822;84.23049297;91.70091038;85.92657337
90.04099274;84.24295044;91.68955231;85.96516418;90.07766342;84.18911362;91.73021317;85.979702;90.14667969;84.21163635;91.67925262;84.21163635;90.12117462;84.23622055;91.73411255;85.89804001;90.15283394;84.22439518;91.6978466;85.92190456
90.19219971;84.21473694;91.66051483;85.87417603;90.09971237;84.24636078;91.75945282;85.88593674;90.09004059;84.26742706;91.74353485;84.26742706;90.1117981;84.2402504;91.71982269;85.92722778;90.15231857;84.23840523;91.68491955;85.94218216
90.02196503;84.30371094;91.65378571;85.96993256;90.13638306;84.21822357;91.75401688;85.91295242;90.11408997;84.24644623;91.70815277;84.24644623;90.12809677;84.22041702;91.73466187;85.91422958;90.15633831;84.23722553;91.67784519;85.94788647
90.23711395;84.23417664;91.63101196;85.86972809;90.07266998;84.23662949;91.76860046;85.94381332;90.12400665;84.20597534;91.7519516;84.20597534;90.10708084;84.23588562;91.71530685;85.90456467;90.14829502;84.24034653;91.69269104;85.93533669
